Word,DensityAtRadius0.550,DensityAtRadius0.525,DensityAtRadius0.500,DensityAtRadius0.475,DensityAtRadius0.450,DensityAtRadius0.425,DensityAtRadius0.400,DensityAtRadius0.375,DensityAtRadius0.350,GrowthAtRadius0.550,GrowthAtRadius0.525,GrowthAtRadius0.500,GrowthAtRadius0.475,GrowthAtRadius0.450,GrowthAtRadius0.425,GrowthAtRadius0.400,GrowthAtRadius0.375,GrowthAtRadius0.350,IsNeologism
workplace,0,0,1,11,46,182,492,1171,2242,NaN,NaN,0.5461186812727501,0.47245539854311835,0.5243635228872066,0.503746884686949,0.47202151651639307,0.4598350815883976,0.4275407885469343,1
healthcare,6,12,34,78,189,363,680,1205,1989,0.6685859799698809,0.6402144254007199,0.6139591503683874,0.5808537398963494,0.5800541431779488,0.5703529622611471,0.558903130374009,0.5342868952156533,0.5012395170391578,1
fax,1,1,3,5,9,16,24,60,128,0.9374857973189997,0.9374857973189997,0.900055779695924,0.7649349285260654,0.7312814864491096,0.7278806497196981,0.7003161705679575,0.5257525604615434,0.4877508376932589,1
workout,0,0,0,4,12,26,93,223,614,NaN,NaN,NaN,0.7542490039164702,0.7266134884333603,0.6762121289078045,0.5819972114515353,0.5501042446815272,0.5230842733509571,1
regression,0,0,0,0,1,8,33,143,444,NaN,NaN,NaN,NaN,0.8469511393076916,0.5995465035720008,0.5190755235767522,0.5023088821686101,0.47543717360855425,1
parenting,1,1,2,2,7,27,71,195,500,0.9167990748426075,0.9167990748426075,0.5610827159558754,0.5610827159558754,0.7378126536336067,0.6019021560963093,0.5193149901219593,0.4725481112575795,0.44342718235257944,1
ethnicity,1,2,8,20,92,278,631,1305,2385,0.15789473684210525,-0.38183694530443757,0.3009674088844718,0.3748707208560458,0.4856820546330855,0.4748043454960422,0.43612972758313917,0.40874538908471697,0.38097098794966244,1
baseline,0,2,3,21,49,141,351,768,1579,NaN,0.5383556202501222,0.5396835179121683,0.508390040700814,0.4845434629398037,0.49201776790797613,0.47178131596876255,0.4572179681760966,0.45337756970396476,1
ecosystem,1,5,12,35,103,253,602,1388,2690,0.6496804009072564,0.45568283871546694,0.5661724841811973,0.5312147673932018,0.43473535714625683,0.36725498065030293,0.3361437595742496,0.3201050859838538,0.3060660283587617,1
processor,1,1,1,5,15,84,282,711,1484,0.7375821265214417,0.7375821265214417,0.7375821265214417,0.4952597956321928,0.49835016574758956,0.44239408057736007,0.43452689537786093,0.4283072410563287,0.40427411669435365,1
ppg,0,0,0,3,9,52,156,404,926,NaN,NaN,NaN,0.5052237470374915,0.5267633678799013,0.47691057462121544,0.4864531629546745,0.4316416538289176,0.40825836069105664,1
spokeswoman,1,1,1,1,4,7,19,68,148,0.9917440660474718,0.9917440660474718,0.9917440660474718,0.9917440660474718,0.804674430082915,0.7497876975134842,0.7460338805146001,0.6272610165417719,0.5957379712655885,1
icon,0,1,2,9,34,127,379,972,2092,NaN,0.890608875128999,-0.02786377708978327,0.13396070456548584,0.4491619165166788,0.47614784097613794,0.4217725964447756,0.4131964169998577,0.3858090124229234,1
globalization,29,57,138,310,612,1092,1831,2853,4185,0.6882241571076106,0.6661336579663292,0.6236709556992689,0.5846754423038661,0.5399653428989423,0.4960899843776545,0.44901859211534495,0.41049660255402254,0.37907471868492526,1
email,0,0,0,1,3,9,25,81,252,NaN,NaN,NaN,0.5739412482488021,0.07510769580542971,0.5123720729750939,0.45900174778518676,0.40916401354986676,0.3358026492602461,1
governance,4,24,100,272,617,1145,1952,3051,4414,0.3984951015646111,0.49128104602875594,0.5199876145891446,0.47895464783503966,0.4552252133651192,0.42248774008237927,0.395226574467029,0.3662152191038324,0.3450765312280765,1
interface,2,14,54,136,268,517,989,1884,3284,0.5987892516337532,0.5325322518008716,0.5390709122906306,0.5199331975856443,0.4992335068674263,0.47647496600356215,0.44604732271969005,0.41647111958886557,0.3910970311562749,1
workforce,3,7,20,48,144,303,609,1157,1986,0.4680005768313625,0.4993053714809292,0.6339126994511506,0.5999070249255144,0.5799902588097919,0.5581167379546067,0.543267056966084,0.5020186417510298,0.4695939211297175,1
laptop,8,21,48,91,200,363,717,1309,2311,0.7533692531830501,0.6883875624400444,0.6882894967000465,0.6895060723382531,0.6576331576960217,0.6075836042400782,0.574196243538992,0.5343732897763716,0.4960604520191998,1
biodiversity,2,4,6,14,26,71,218,556,1285,0.8021363820841751,0.7874833599617564,0.7186441192727262,0.61350029138422,0.5295328851075687,0.4883674615191584,0.4700002275496821,0.4465976784596373,0.42665709883178743,1
info,0,0,0,0,0,1,4,11,46,NaN,NaN,NaN,NaN,NaN,0.6181630546955624,0.22438907727185273,0.15973313552776175,0.17993541108041555,1
blog,0,0,2,4,10,28,81,219,562,NaN,NaN,0.844536175088998,0.7543144027121448,0.6430753083404512,0.6642373496616318,0.6039382145876928,0.5376797835362962,0.4832115406612413,1
outreach,4,13,26,70,146,279,523,973,1802,0.7089069007794293,0.6648754443815922,0.6548598884296718,0.612689221338502,0.5711651217672468,0.5522224508251259,0.5216914333565607,0.482141862743537,0.45344859708850305,1
preschool,4,7,11,22,36,72,143,275,547,0.8253987184563345,0.6408550764360077,0.5157461868502188,0.4718834021441145,0.5170949132068388,0.5368146582757699,0.509191835445714,0.5039534130811933,0.48450609130362426,1
privatization,33,78,193,400,704,1188,1907,2834,4146,0.5841002417311892,0.6086469377129619,0.5948642161651148,0.5868254344089385,0.5598739686260077,0.5176577335148618,0.48417536658481397,0.4463232609070899,0.41190469460858425,1
overview,0,1,2,6,9,21,46,140,367,NaN,-0.23219814241486067,0.34571723426212586,-0.3374613003095976,-0.1829556767600551,-0.035039687628968745,0.16846670920194076,0.2910141149045859,0.35864329569007,1
watercolor,1,2,4,8,17,38,85,220,461,0.4636484125812683,0.34034989182854,0.18633849414390793,0.17816695830412643,0.22514733625632996,0.22778565620478647,0.18069025267501515,0.21838256869194533,0.22908463565275405,1
backpack,80,156,305,576,988,1701,2623,3844,5000,0.5135237177021879,0.52477630281237,0.4982515269327786,0.4747386191742529,0.4313827642438673,0.39400276735602924,0.3677195644460028,0.3521325239800742,0.3377632454470323,1
download,0,0,1,5,10,35,85,225,580,NaN,NaN,0.6465034796314264,0.6883587292744731,0.604501448614076,0.554674341370939,0.4918532299460209,0.49521227083135944,0.457932991745804,1
artwork,4,10,33,90,184,368,782,1644,3117,0.18884950667550837,0.09437081230065017,0.22078453952407143,0.3073984337313962,0.29969116200753687,0.2938004040312696,0.28748327401063406,0.27789406328987926,0.27615689587666015,1
hip-hop,5,11,21,35,81,171,408,816,1683,0.7545182285365594,0.7131715159254799,0.7196345941291615,0.7005543059757187,0.6813696919388749,0.6310969959298521,0.5828380146686785,0.524741136111333,0.4737674901587111,1
peacekeeping,1,7,16,55,141,327,629,1175,2122,0.7588161343935688,0.6640593491095853,0.6237382252760333,0.6201148776465131,0.5971094612701087,0.5389675392164659,0.5045253753606024,0.4688486245940657,0.4222064672443886,1
salsa,83,146,239,357,503,679,953,1463,2472,0.5948105101983625,0.547802405614701,0.4977014291366014,0.45950915801015807,0.43598051784984476,0.4032023733094133,0.37171266808171466,0.3305540791946134,0.29346733182209894,1
same-sex,0,1,3,6,14,39,108,304,822,NaN,0.7502579979360166,0.5904262724872547,0.49642133675783695,0.42953787821978284,0.31690165898258804,0.37065415686249115,0.3681193232930706,0.34769461643871585,1
multimedia,3,10,25,49,111,225,446,833,1439,0.44694603183725884,0.4993271583273722,0.5366625225237686,0.5848052665384967,0.6084117158361833,0.579750854136516,0.5733571006562798,0.560386998929111,0.5334271553164605,1
genome,0,0,0,0,3,20,74,256,669,NaN,NaN,NaN,NaN,0.6091750853113289,0.4947354964559304,0.5192604916798021,0.4733101412251156,0.4412018127284074,1
predictor,1,1,5,9,19,45,141,376,913,0.9387791301131162,0.9387791301131162,0.6732479275205755,0.5903965821026527,0.6017092429930809,0.5299902306656765,0.505549129218829,0.4729833091756584,0.44263058315934634,1
autism,5,15,38,78,160,301,504,825,1375,0.7876590318658805,0.6866244993698633,0.656217906656033,0.642409228654421,0.6132511243162379,0.5934698245262187,0.5636461763713431,0.5609359042728513,0.5213558149424155,1
sensor,158,257,406,648,997,1498,2262,3336,4798,0.6042351155683091,0.5906762239733352,0.5529836277901348,0.5277906863727081,0.4993259078696723,0.48557890851054875,0.4636285122221101,0.44253163942766277,0.4225449011799419,1
cilantro,227,342,485,701,1005,1502,2249,3491,5000,0.42034364168610794,0.3651808700110383,0.33282606466549103,0.3211929701676965,0.29707239224627724,0.2776140526812008,0.27029864714520857,0.25161558286154834,0.23739423474506266,1
sustainability,2,3,20,68,211,489,930,1649,2702,0.8021363820841751,0.7311972202782782,0.6107030997153606,0.6105814052824434,0.5515783013977564,0.5222238997046803,0.4847068896807467,0.4604059523389077,0.4279208870942289,1
empowerment,1,6,15,66,175,389,833,1597,2746,0.8064063513792975,0.5363241990372797,0.6083060455619284,0.5617968162773241,0.5234849109965449,0.5122679932065217,0.4499683915660673,0.4287830382830075,0.39084985882274165,1
condom,0,0,0,0,0,4,16,52,253,NaN,NaN,NaN,NaN,NaN,0.762975441625245,0.7167497126204796,0.5782200163289188,0.5138478142678693,1
self-efficacy,0,0,4,31,91,293,788,1680,2974,NaN,NaN,0.5593955408554765,0.5871976302551251,0.526762753109083,0.4819762586779586,0.4386729770347453,0.41525426630104134,0.39664460709367216,1
ethanol,18,56,130,267,502,882,1480,2307,3493,0.6889374306294765,0.6508022464757557,0.6126687918496843,0.5761466860044716,0.5304561643769932,0.5028152184911364,0.48058513758260957,0.45359959551184054,0.43280372421747315,1
anthrax,1,5,20,57,116,234,424,750,1272,0.8245614035087718,0.6252927076382979,0.5491015187331572,0.5566825950559295,0.567356786528268,0.5546516084181676,0.5406641541787847,0.5267525811380006,0.5001780307666365,1
tsunami,1,1,2,5,11,37,80,181,465,-0.4633642930856553,-0.4633642930856553,-0.3075335397316821,0.4026432852871462,0.24178883614226085,0.40196539318556374,0.47129034461522706,0.40462518283100374,0.41770212641932714,1
rehab,0,1,3,4,9,35,84,228,634,NaN,0.6242650307006157,0.7363447925099852,0.7644244575728936,0.7205513753238342,0.6871364915552686,0.6403020820043533,0.6041866807962221,0.5108457965392615,1
filmmaker,12,32,52,116,233,419,714,1188,1949,0.27928607969160646,0.5564132933438157,0.6023413150425446,0.6065695680110674,0.5951078450583479,0.5601061504215273,0.5379861631304532,0.4790807888671129,0.44330444520376977,1
subscale,0,0,0,0,8,34,140,489,1259,NaN,NaN,NaN,NaN,0.5012335050745429,0.5411034343027454,0.45416575004517246,0.42526306905125455,0.39181914009860747,1
def,0,0,0,0,0,2,15,68,202,NaN,NaN,NaN,NaN,NaN,0.7537405821438634,0.5507923257850247,0.5112181160797293,0.42468601906422226,1
entitlement,5,13,49,174,435,966,1889,3107,4605,0.4597043383984518,0.5143798257399511,0.5114541197517476,0.4934915766663759,0.4395116242673424,0.3907405969389287,0.35296416747693155,0.32717394889561663,0.30887796221657265,1
tsp,51,89,166,322,544,878,1428,2311,3903,0.38786548372109864,0.3844683127887242,0.38902789234116186,0.3872110543998274,0.3702066652569735,0.36064274727946627,0.33429612791442875,0.3203360543051485,0.30390031138591844,1
condo,11,15,28,58,120,266,493,1031,2015,0.7079457589921465,0.5434857999717309,0.5436584163758709,0.52610785771119,0.5218117592792592,0.47836765876539566,0.43846716979723704,0.39243060920287104,0.36498341795438705,1
bailout,5,21,44,111,213,359,673,1175,1900,0.7115726673664022,0.6720522091658863,0.6277505813996661,0.5913868475171417,0.5514278973191411,0.5269936986965302,0.5007700287433511,0.4848917794356806,0.4588651346033985,1
groundwater,24,46,76,142,258,477,933,1629,2616,0.5983934385972972,0.5769127663034738,0.5237648754260233,0.4695678917822727,0.47489760063800185,0.4904928396243774,0.459373806889765,0.43354623341587434,0.4203065177459461,1
downside,0,1,1,1,7,38,120,438,1215,NaN,-0.23013415892672856,-0.23013415892672856,-0.23013415892672856,0.16574800132015172,0.38898505068389366,0.4016983504257639,0.4254038158872711,0.4038208345594448,1
landfill,3,8,17,44,96,195,463,1032,2076,0.7807840680221525,0.7215848553158773,0.578407308112894,0.5681584481173144,0.5708470481424864,0.5293745672235852,0.45333284538726853,0.41341081230919924,0.38604613239542473,1
algorithm,0,5,10,55,184,386,792,1433,2417,NaN,0.6157203188323137,0.5832355243199523,0.46591926835702696,0.4692851103923815,0.4466019620188035,0.42386766165092105,0.3992054132983365,0.38248750836064577,1
wastewater,14,25,49,114,247,492,925,1655,2660,0.5741742562071357,0.5544360631107542,0.5653660992141242,0.5448669428613692,0.5029101086951511,0.4795753155860347,0.4669310583415719,0.450540631317776,0.4349413790576333,1
spokesperson,2,2,2,5,8,20,51,125,312,0.6901726642413171,0.6901726642413171,0.6901726642413171,0.7771966784909199,0.8117954231363943,0.7595945478297339,0.7068446507645847,0.6612649231376488,0.5986926794170898,1
postseason,35,64,92,126,181,268,363,512,841,0.7341628322827735,0.7524100262903244,0.7407200649630934,0.7255816229996289,0.6964757122156199,0.6766685712958738,0.6689549787381401,0.6301105799768096,0.5756309360826879,1
dysfunction,201,320,470,651,969,1365,2039,2963,4270,0.5727011188179599,0.5573355348693328,0.5337405102057066,0.5053179327950754,0.4671812098674295,0.43984062616489455,0.40616728745412073,0.3783506319335161,0.3500628042813058,1
sitcom,2,2,6,17,39,82,175,401,904,0.845889719281889,0.845889719281889,0.7807298612485615,0.7429598414281331,0.7316633557102642,0.6938028904187432,0.6685588892888418,0.5643143571597047,0.5165490926700307,1
analog,6,23,55,104,186,316,559,1078,2103,0.574420699624735,0.5954593918496862,0.5894140823270225,0.5768880742079167,0.5687687501815396,0.5412880703448036,0.509394393923752,0.47665060814301247,0.44828084187359496,1
tofu,303,395,522,659,879,1150,1618,2363,3509,0.44734520478997275,0.4279568954436575,0.3885517633497642,0.36190086455056136,0.34125509087354555,0.32099232857831855,0.3086449015347543,0.29102058446987483,0.2762041967749395,1
arousal,1,7,24,84,187,429,899,1661,2828,0.6207534440164922,0.1506765984755057,0.3394440860830233,0.36031414260304734,0.37005446557271204,0.3283726065417289,0.33189837466795785,0.32523686176435085,0.31040891046809455,1
ballpark,2,3,3,5,15,57,186,523,1292,0.8849668782483378,0.916377312114591,0.916377312114591,0.8457135337727895,0.767858686668304,0.6501359980553161,0.5594426867295479,0.5106182706061625,0.4528542608077416,1
victimization,0,3,4,18,61,151,354,788,1635,NaN,0.30140815887605205,0.09009120687633729,0.4027125304116967,0.4186609532483046,0.3659508546848411,0.35363505153629154,0.33012392575003974,0.30495107374198704,1
backcountry,2,3,6,19,46,111,307,730,1580,0.666155239812841,0.6865687479928134,0.4484579539033298,0.48177393203077534,0.38134104381113193,0.3486209754624666,0.28658783814371214,0.26783706851379685,0.26559950163100127,1
offseason,0,1,7,13,31,66,116,227,419,NaN,0.8346368088855411,0.8196260243930608,0.7353314158198514,0.7620752008076362,0.7263831186362549,0.7017672563392654,0.6734143069089704,0.643063373242904,1
burnout,0,0,0,1,5,15,50,164,408,NaN,NaN,NaN,0.787549275454943,0.624362656743435,0.48558400437398125,0.46869197236775473,0.47730296752005225,0.46748570904721426,1
biomass,26,79,195,422,803,1325,2043,3062,4368,0.6225631245128566,0.5663765313227159,0.5264419748035206,0.4962260386669805,0.47107402829904726,0.44015679293368537,0.40544105350715376,0.38736962104640893,0.37306700070155757,1
acculturation,0,0,2,5,39,142,428,987,1909,NaN,NaN,0.3819792033295032,0.47236126088957847,0.569766887317714,0.5110393580539202,0.4872800634866007,0.42690366067521174,0.3929896266370609,1
osteoporosis,44,96,170,304,436,626,866,1187,1693,0.7130794856797232,0.6923789826563533,0.6650285607603733,0.6162628554808678,0.5730154730567049,0.5502691030994391,0.5247140711467491,0.5121016675120571,0.4910925469797613,1
start-up,4,14,44,103,249,492,887,1504,2532,0.5137460569342999,0.6151299696981035,0.597392490165064,0.576699660127425,0.5654928551356231,0.555201004779141,0.5330613778712442,0.5161664243995415,0.48729545296063714,1
fundraising,2,4,6,17,58,170,388,835,1589,0.9109292309818136,0.8352038468153107,0.7976851885084648,0.5998449508361885,0.5717186105448752,0.5441287609764541,0.5500565785400163,0.5164050005709881,0.48578800524963306,1
firefighter,1,1,3,6,14,34,110,277,707,0.6504905358347283,0.6504905358347283,0.5640149984654189,0.6487428681153515,0.6247951021570907,0.4741661761777125,0.5465074452972842,0.507275218400754,0.4627846927162993,1
homelessness,4,6,15,29,69,164,357,810,1632,0.3488162987440347,0.5254583557218763,0.45783489525306253,0.4574195653681611,0.47104257487254936,0.5062318548673878,0.5020333620780588,0.4505300521932237,0.4328042408672361,1
testosterone,2,11,21,56,148,335,664,1174,1986,0.8243557533704979,0.6959586365352566,0.6581035861301487,0.6391115196972983,0.6187187292936448,0.5594481442785953,0.5134045481093794,0.4766604522085718,0.42644568053198534,1
biotechnology,9,17,41,94,208,436,865,1567,2634,0.7503882668928894,0.6821432739942955,0.6142518012104113,0.6092434561052696,0.5833026741657042,0.5626317342621745,0.5500460310088984,0.52247055508994,0.4996149184121184,1
caregiver,3,5,6,24,45,106,269,700,1555,0.8767025943332766,0.7839194881376408,0.7194928579679528,0.4985923790944901,0.47030938493813373,0.45279591962784393,0.4311995052035561,0.3811189742621622,0.36606410768091424,1
browser,0,1,3,4,15,42,139,392,1021,NaN,0.9016810688970285,0.5498840940994884,0.5684793282497702,0.5755045946586458,0.5315662974690704,0.5239844630542055,0.5086822785534647,0.48124499006969623,1
nonstick,9,30,82,192,416,838,1423,2220,3603,0.5097511913374226,0.3958329279413427,0.4327377547589332,0.3943524000895744,0.3779816132270867,0.36476716106716434,0.35967982779982505,0.3510991958902595,0.33291416714459987,1
cornerback,4,6,16,32,57,90,155,270,522,0.8373364455310501,0.839608218955771,0.8262269163408875,0.7847383873932302,0.7609280181787382,0.7158810454967217,0.6642921728242728,0.6292725286575481,0.5583378307157615,1
sunscreen,1,2,4,14,29,101,249,557,1112,0.8982964542479581,0.8875656539655621,0.6875311817038104,0.7309800837006157,0.695904249483741,0.5526368538880189,0.47533999302564905,0.43413718506170623,0.4195907386520213,1
biotech,3,4,14,43,89,199,426,882,1666,0.481466605048761,0.5227258236944273,0.5897334360679737,0.5925922990863548,0.5892349249125312,0.5693188506799146,0.5658135722744978,0.5468447146204821,0.5263839702219931,1
cellphone,3,10,18,26,51,114,235,500,1030,0.8818244158831866,0.7524606663908208,0.7672393713404201,0.7363306522273448,0.713245228966593,0.6933294528821303,0.6312605995484318,0.5711790349704506,0.5357163384440616,1
soundtrack,4,12,40,100,196,369,632,1072,1929,0.33903594828766326,0.40423022196836583,0.4754809052956038,0.49137875729853414,0.4492531690802288,0.411455563149036,0.4099194199584095,0.3853998307701086,0.36449676870796216,1
wellness,1,1,5,17,29,66,143,317,625,0.1475748194014448,0.1475748194014448,0.49107984179050357,0.6506106121263319,0.6684222570115153,0.6700244919998896,0.6253099628622739,0.588858559258468,0.5485154649415085,1
cyberspace,0,0,0,0,3,22,85,368,1001,NaN,NaN,NaN,NaN,0.7555964676231447,0.5689973391375254,0.5316692342283054,0.5001429200958478,0.46588740241892235,1
makeover,0,0,1,2,3,11,42,125,407,NaN,NaN,0.7975955940360187,0.7629556461885127,0.7292100099915961,0.7366879623421887,0.6350013895458028,0.628256104347676,0.5603607552074906,1
app,0,0,1,5,16,45,117,358,911,NaN,NaN,0.9016810688970285,0.562029962978496,0.5804503195595411,0.5594112579692097,0.5485141284452444,0.5288035977880111,0.4820150482416039,1
steroid,0,3,11,45,127,265,494,810,1343,NaN,0.7486634047681081,0.6966663454861352,0.656565311150427,0.6202255370827067,0.5999866743823594,0.5753119101663253,0.5444965020585154,0.5034022527480507,1
ponytail,70,154,282,493,781,1206,1915,2952,4405,0.5609088235561804,0.4832802874094356,0.43507029157404137,0.40550612596017005,0.3960954382823302,0.37431198571747293,0.34247338964640023,0.3234597422545326,0.30602780687323056,1
after-school,2,9,20,32,55,109,224,415,749,0.6874095889862166,0.6489473743797239,0.6278024674799534,0.6398062206768838,0.6130318845216768,0.5348556379481801,0.5350095046755424,0.5212647669145362,0.5052331117465912,1
sushi,8,24,55,130,236,365,558,917,1582,0.8171755682602251,0.7463418786281828,0.6522110519261507,0.6059294028122614,0.5539065358947255,0.5033876734686641,0.43168508598807087,0.3709667853343015,0.3138956949717431,1
oregano,248,373,564,816,1158,1676,2529,3783,5000,0.34443700882877143,0.306551800923099,0.28758063138698214,0.281533390548012,0.2703606613177053,0.26292494204487343,0.24488175338379647,0.23748142236505115,0.23392283128034064,1
meltdown,6,10,13,33,60,107,226,471,1027,0.631947133397236,0.7315966929884883,0.7140496543594079,0.7373812068331547,0.6542809651322651,0.5985714132294713,0.5599677058819199,0.5359398831067987,0.49856927816757796,1
gridlock,0,0,4,7,9,41,137,400,1045,NaN,NaN,0.8544534944623212,0.8550529517607188,0.7911760939868865,0.5872610040448525,0.5172959476198556,0.4498597226174209,0.3996998292717348,1
template,0,1,3,11,27,98,331,832,1779,NaN,0.9112487100103198,0.5169187276920494,0.5517945507764838,0.40694415100977327,0.3516946296550577,0.3577267265780428,0.3342194204381759,0.33705853569229255,1
worldview,33,110,257,538,941,1518,2325,3382,4741,0.5165683804453307,0.42929237268180404,0.3713817292739034,0.37464556063736293,0.34656700983456123,0.32336963835747196,0.3093073155658966,0.2922775108598556,0.2721987366651792,1
rapper,0,1,8,26,82,182,428,952,1970,NaN,0.5461186812727501,0.7587136386465608,0.7568446821841854,0.6803671028078175,0.6138371319053234,0.5623919265350277,0.4717664489939447,0.3913846091895021,1
fund-raiser,1,1,5,8,25,71,206,507,1130,0.8321783794042876,0.8321783794042876,0.8543468268640024,0.77690562758965,0.6877616616902452,0.6171800664136728,0.5063862594718852,0.4803619224185514,0.4627712764532113,1
giftedness,0,1,11,45,160,381,777,1456,2447,NaN,0.6546339545399711,0.4769552299446557,0.4351075966333574,0.5108950003414904,0.45277702578384404,0.41038527965881183,0.38612446527403443,0.35734121770555727,1
multiculturalism,30,54,120,253,486,861,1470,2414,3607,0.7084780364825513,0.6309272396263856,0.6298235073408627,0.5258992834736952,0.5073852143191669,0.46558627078963216,0.42737102389817666,0.3925079450306439,0.35444550604612446,1
pandemic,1,6,11,28,62,159,351,682,1345,0.6305469556243549,0.6524783105965386,0.42031252547579406,0.5850826303795896,0.5678352017661793,0.5385972161512308,0.5331068367534135,0.5245521943790956,0.5032705159468872,1
audiotape,0,0,0,0,0,0,0,4,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6312945314369943,0.6068988659162042,1
timeline,0,0,3,6,18,66,214,593,1383,NaN,NaN,0.9190877323616489,0.8054316972402044,0.5917329944001263,0.5383699431628691,0.5300434896524382,0.47309790634234133,0.45457560122333146,1
handheld,7,21,58,121,256,465,866,1430,2346,0.6301904480333108,0.6445447878855182,0.6279124578965025,0.6331121288382545,0.6069896231485248,0.5624194028560364,0.5288635913459359,0.4903328379365795,0.46428527834529343,1
telecom,2,3,15,36,81,157,291,536,967,0.5937605431536542,0.6113415219795783,0.6087390887296074,0.6182035243714158,0.6124229203858215,0.6107960307786211,0.5854856955497015,0.5792411601777837,0.5568069060534878,1
epidemiology,23,35,47,84,145,257,416,671,1058,0.6946458927690433,0.6977239853606041,0.690780891791671,0.6547124858036609,0.6145519511832321,0.5790550130552873,0.5538563551504229,0.5528371550344263,0.5288807762019477,1
ultrasound,2,11,21,62,144,291,570,1002,1718,0.7527082794322705,0.6999008490817968,0.7183669819301974,0.6318247169592046,0.6336730838261667,0.6100340419357599,0.5733689275979638,0.5446987321653557,0.508533880602821,1
counterterrorism,2,5,12,28,60,153,311,602,1132,0.7514022275658444,0.7023329374425658,0.7327738918920667,0.6971684413051796,0.6968013053080174,0.6580358377784397,0.6269038571160787,0.6010887949542416,0.5545134317762236,1
mpg,0,1,2,5,18,42,78,176,363,NaN,0.851087652808584,0.8463174851564793,0.7418475665617074,0.6580003928688284,0.5963193432207473,0.6039750284208016,0.582158069427486,0.5522522021234222,1
self-report,0,0,0,1,10,58,199,548,1342,NaN,NaN,NaN,0.5810351440069174,0.576078478887589,0.532935228199118,0.5085855748097755,0.4837344983377117,0.4542995687539957,1
